"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"14438186";"1";"2025-06-23 09:00:00.000";"27";"4"
"14438255";"1";"2025-06-23 09:00:00.000";"54";"2"
"14438352";"1";"2025-06-23 09:00:00.000";"33";"3"
"14438365";"1";"2025-06-23 08:15:00.000";"75";"1"
"14438451";"1";"2025-06-23 09:00:00.000";"27";"1"
"14438452";"1";"2025-06-23 09:00:00.000";"46";"4"
"14516195";"2";"2025-06-23 05:00:00.000";"24";"1"
"14516234";"2";"2025-06-22 11:15:00.000";"14";"1"
"14516814";"1";"2025-06-23 00:15:00.000";"11";"1"
"14516895";"1";"2025-06-23 09:00:00.000";"21";"1"
"14517137";"1";"2025-06-23 08:00:00.000";"28";"1"
"14596132";"1";"2025-06-23 02:00:00.000";"96";"1"
"14596593";"1";"2025-06-23 08:30:00.000";"83";"1"
"14615977";"1";"2025-06-22 16:15:00.000";"31";"1"
"14615977";"2";"2025-06-22 16:00:00.000";"35";"1"
"14620432";"1";"2025-06-22 21:00:00.000";"55";"1"
"14620432";"2";"2025-06-22 16:30:00.000";"40";"1"
"14622129";"1";"2025-06-23 08:45:00.000";"56";"1"
"14622129";"2";"2025-06-23 09:00:00.000";"49";"1"
"14624676";"1";"2025-06-23 00:30:00.000";"93";"1"
"14625142";"1";"2025-06-22 22:15:00.000";"70";"1"
"14625276";"1";"2025-06-23 08:30:00.000";"100";"1"
"14736428";"2";"2025-06-22 23:45:00.000";"43";"1"
"14738849";"1";"2025-06-22 19:00:00.000";"33";"1"
"14740869";"1";"2025-06-23 08:30:00.000";"50";"1"
"14741229";"1";"2025-06-23 06:30:00.000";"40";"1"
"14743066";"1";"2025-06-23 07:30:00.000";"34";"1"
"14743162";"1";"2025-06-23 05:00:00.000";"35";"1"
"14743222";"1";"2025-06-23 08:30:00.000";"60";"1"
"14743222";"2";"2025-06-23 08:15:00.000";"61";"1"
"14743327";"1";"2025-06-23 02:15:00.000";"80";"1"
"14743327";"2";"2025-06-23 02:15:00.000";"74";"1"
"14748942";"1";"2025-06-22 23:45:00.000";"21";"1"
"14750858";"1";"2025-06-22 09:45:00.000";"33";"1"
"14751179";"1";"2025-06-22 18:30:00.000";"47";"1"
"14751179";"2";"2025-06-22 19:00:00.000";"55";"1"
"14751527";"2";"2025-06-23 07:30:00.000";"22";"1"
"14751868";"1";"2025-06-22 12:15:00.000";"12";"1"
"14752355";"1";"2025-06-22 10:15:00.000";"32";"1"
"14752717";"1";"2025-06-22 17:00:00.000";"34";"1"
"14754462";"1";"2025-06-23 04:00:00.000";"29";"1"
"14754462";"2";"2025-06-22 20:00:00.000";"30";"1"
"14756023";"1";"2025-06-22 18:15:00.000";"57";"1"
"14756023";"2";"2025-06-23 00:30:00.000";"64";"1"
"14758713";"1";"2025-06-22 19:00:00.000";"18";"1"
"14758713";"2";"2025-06-22 18:15:00.000";"14";"1"
"14759097";"1";"2025-06-22 23:00:00.000";"52";"1"
"14759097";"2";"2025-06-23 08:30:00.000";"62";"1"
"14765766";"1";"2025-06-23 08:15:00.000";"103";"1"
"14766187";"1";"2025-06-23 07:45:00.000";"104";"1"
"14773230";"1";"2025-06-23 05:15:00.000";"16";"1"
"14781305";"1";"2025-06-23 09:00:00.000";"20";"14"
"14781932";"1";"2025-06-23 09:00:00.000";"31";"1"
"14782349";"1";"2025-06-23 09:00:00.000";"28";"4"
"14782480";"1";"2025-06-22 21:00:00.000";"15";"1"
"14783001";"1";"2025-06-23 09:00:00.000";"28";"1"
"14783090";"1";"2025-06-23 09:00:00.000";"26";"4"
"14783245";"1";"2025-06-23 09:00:00.000";"20";"2"
"14783561";"1";"2025-06-23 09:00:00.000";"20";"5"
"14784002";"1";"2025-06-23 09:00:00.000";"39";"1"
"14784185";"1";"2025-06-23 09:00:00.000";"24";"2"
"14784363";"1";"2025-06-23 08:30:00.000";"27";"1"
"14785866";"1";"2025-06-23 03:45:00.000";"22";"1"
"14785963";"1";"2025-06-23 09:00:00.000";"37";"3"
"14786207";"1";"2025-06-23 09:00:00.000";"18";"1"
"14787343";"1";"2025-06-23 09:00:00.000";"26";"1"
"14791766";"1";"2025-06-23 09:00:00.000";"52";"3"
"14792921";"1";"2025-06-23 09:00:00.000";"14";"1"
"14794438";"1";"2025-06-23 09:00:00.000";"24";"9"
"14794988";"1";"2025-06-23 09:00:00.000";"32";"11"
"14795503";"1";"2025-06-23 09:00:00.000";"29";"1"
"14795590";"1";"2025-06-23 07:15:00.000";"60";"1"
"14795656";"1";"2025-06-22 20:15:00.000";"27";"1"
"14795856";"1";"2025-06-23 08:00:00.000";"57";"1"
"14795856";"2";"2025-06-23 08:30:00.000";"54";"1"
"14796128";"1";"2025-06-23 08:00:00.000";"33";"1"
"14796237";"2";"2025-06-23 07:00:00.000";"15";"1"
"14796768";"1";"2025-06-22 23:45:00.000";"31";"1"
"14796768";"2";"2025-06-22 10:15:00.000";"14";"1"
"14798183";"1";"2025-06-23 09:00:00.000";"17";"2"
"14798387";"2";"2025-06-23 06:00:00.000";"24";"1"
"14798438";"2";"2025-06-23 01:30:00.000";"16";"1"
"14798858";"1";"2025-06-23 08:15:00.000";"25";"1"
"14798944";"1";"2025-06-23 09:00:00.000";"27";"1"
"14799032";"1";"2025-06-23 09:00:00.000";"27";"4"
"14799150";"2";"2025-06-23 09:00:00.000";"38";"2"
"14799250";"1";"2025-06-23 08:15:00.000";"21";"1"
"14799416";"1";"2025-06-23 09:00:00.000";"16";"1"
"14799485";"1";"2025-06-23 08:30:00.000";"16";"1"
"14799577";"1";"2025-06-23 09:00:00.000";"8";"1"
"14799706";"1";"2025-06-23 09:00:00.000";"24";"6"
"14799975";"1";"2025-06-23 09:00:00.000";"12";"1"
"14801337";"1";"2025-06-23 09:00:00.000";"37";"1"
"14801337";"2";"2025-06-23 09:00:00.000";"31";"1"
"14801679";"1";"2025-06-23 08:00:00.000";"32";"1"
"14801679";"2";"2025-06-23 09:00:00.000";"39";"1"
"14801834";"1";"2025-06-23 08:45:00.000";"28";"1"
"14801834";"2";"2025-06-23 09:00:00.000";"20";"1"
"14801921";"1";"2025-06-23 09:00:00.000";"20";"1"
"14802356";"1";"2025-06-23 09:00:00.000";"25";"2"
"14802632";"1";"2025-06-23 09:00:00.000";"38";"1"
"14802803";"1";"2025-06-23 07:30:00.000";"47";"1"
"14803551";"1";"2025-06-23 08:15:00.000";"24";"1"
"14803623";"1";"2025-06-23 09:00:00.000";"19";"1"
"14803773";"1";"2025-06-23 09:00:00.000";"12";"1"
"14804056";"1";"2025-06-23 07:30:00.000";"28";"1"
"14804104";"1";"2025-06-23 09:00:00.000";"11";"5"
"14804195";"1";"2025-06-23 09:00:00.000";"12";"1"
"14804195";"2";"2025-06-23 08:15:00.000";"28";"1"
"14804282";"1";"2025-06-23 08:30:00.000";"14";"1"
"14804466";"1";"2025-06-23 08:30:00.000";"22";"1"
"14804686";"1";"2025-06-23 09:00:00.000";"29";"3"
"14804686";"2";"2025-06-23 09:00:00.000";"28";"2"
"14804971";"1";"2025-06-22 23:00:00.000";"31";"1"
"14804971";"2";"2025-06-22 21:45:00.000";"35";"1"
"14805069";"1";"2025-06-23 09:00:00.000";"19";"1"
"14805240";"1";"2025-06-23 08:15:00.000";"22";"1"
"14805458";"1";"2025-06-23 09:00:00.000";"15";"1"
"14805500";"1";"2025-06-23 09:00:00.000";"21";"1"
"14805644";"1";"2025-06-23 09:00:00.000";"20";"2"
"14806195";"1";"2025-06-23 08:15:00.000";"30";"1"
"14806250";"1";"2025-06-23 01:45:00.000";"32";"1"
"14806283";"1";"2025-06-23 08:30:00.000";"23";"1"
"14814626";"1";"2025-06-23 00:00:00.000";"63";"1"
"14814626";"2";"2025-06-22 19:15:00.000";"53";"1"
"14814735";"1";"2025-06-22 23:45:00.000";"36";"1"
"14814735";"2";"2025-06-22 23:45:00.000";"35";"1"
"14815023";"1";"2025-06-22 13:30:00.000";"68";"1"
"14815023";"2";"2025-06-22 13:30:00.000";"47";"1"
"14815620";"1";"2025-06-23 04:15:00.000";"20";"1"
"14815809";"1";"2025-06-23 04:15:00.000";"23";"1"
"14815914";"1";"2025-06-22 13:30:00.000";"20";"1"
"14815962";"1";"2025-06-22 13:30:00.000";"6";"1"
"14815990";"1";"2025-06-22 17:15:00.000";"1";"1"
"14816261";"1";"2025-06-23 04:30:00.000";"40";"1"
"14816689";"1";"2025-06-22 13:30:00.000";"17";"1"
"14816718";"1";"2025-06-22 19:15:00.000";"17";"1"
"14818596";"1";"2025-06-22 13:45:00.000";"50";"1"
"14818908";"1";"2025-06-22 22:00:00.000";"36";"1"
"14819259";"1";"2025-06-23 07:30:00.000";"31";"1"
"14819259";"2";"2025-06-22 14:30:00.000";"11";"1"
"14819329";"1";"2025-06-23 08:30:00.000";"38";"1"
"14819576";"1";"2025-06-23 06:15:00.000";"23";"1"
"14819659";"1";"2025-06-23 06:15:00.000";"19";"1"
"14819895";"1";"2025-06-22 22:30:00.000";"22";"1"
"14820026";"1";"2025-06-23 07:15:00.000";"47";"1"
"14820026";"2";"2025-06-23 07:15:00.000";"48";"1"
"14820105";"2";"2025-06-22 09:00:00.000";"29";"1"
"14820351";"1";"2025-06-23 08:00:00.000";"37";"1"
"14820351";"2";"2025-06-23 07:15:00.000";"34";"1"
"14820840";"1";"2025-06-23 07:15:00.000";"57";"1"
"14820840";"2";"2025-06-23 07:15:00.000";"64";"1"
"14821310";"1";"2025-06-23 05:30:00.000";"23";"1"
"14821837";"2";"2025-06-23 05:00:00.000";"28";"1"
"14822033";"1";"2025-06-22 13:15:00.000";"25";"1"
"14822090";"2";"2025-06-23 04:00:00.000";"17";"1"
"14822144";"2";"2025-06-23 08:15:00.000";"34";"1"
"14822275";"1";"2025-06-22 21:45:00.000";"15";"1"
"14822336";"2";"2025-06-22 23:45:00.000";"22";"1"
"14822504";"2";"2025-06-22 21:45:00.000";"22";"1"
"14822628";"2";"2025-06-23 00:15:00.000";"29";"1"
"14824201";"2";"2025-06-22 22:15:00.000";"21";"1"
"14874346";"1";"2025-06-23 09:00:00.000";"8";"1"
"14874482";"1";"2025-06-23 09:00:00.000";"12";"1"
"14874863";"1";"2025-06-22 14:15:00.000";"19";"1"
"14874946";"1";"2025-06-23 09:00:00.000";"33";"1"
"14885583";"2";"2025-06-23 09:00:00.000";"41";"1"
"14885658";"1";"2025-06-23 08:30:00.000";"19";"1"
"14886063";"1";"2025-06-22 13:45:00.000";"20";"1"
"14886090";"1";"2025-06-23 09:00:00.000";"17";"1"
"14886131";"2";"2025-06-23 08:45:00.000";"38";"1"
"14886372";"1";"2025-06-23 09:00:00.000";"25";"1"
"14886450";"1";"2025-06-23 08:15:00.000";"23";"1"
"14886517";"1";"2025-06-23 09:00:00.000";"9";"1"
"14886589";"1";"2025-06-23 09:00:00.000";"15";"2"
"14886643";"1";"2025-06-23 09:00:00.000";"19";"2"
"14886676";"1";"2025-06-23 09:00:00.000";"41";"1"
"14886850";"1";"2025-06-23 07:30:00.000";"26";"1"
"14886877";"2";"2025-06-23 08:45:00.000";"22";"1"
"14886931";"1";"2025-06-23 08:45:00.000";"22";"1"
"14886998";"1";"2025-06-23 07:30:00.000";"19";"1"
"14887029";"2";"2025-06-23 08:30:00.000";"13";"1"
"14887079";"1";"2025-06-23 08:15:00.000";"14";"1"
"14887157";"1";"2025-06-23 08:30:00.000";"27";"1"
"14887217";"1";"2025-06-23 08:45:00.000";"22";"1"
"14887276";"1";"2025-06-23 08:00:00.000";"22";"1"
"14887286";"1";"2025-06-23 04:30:00.000";"18";"1"
"14887315";"1";"2025-06-22 16:45:00.000";"11";"1"
"14887331";"2";"2025-06-23 08:45:00.000";"23";"1"
"14887338";"1";"2025-06-23 09:00:00.000";"14";"1"
"14887363";"1";"2025-06-23 09:00:00.000";"30";"1"
"14887383";"1";"2025-06-22 09:45:00.000";"18";"1"
"14887427";"1";"2025-06-23 07:00:00.000";"17";"1"
"14887439";"1";"2025-06-23 05:30:00.000";"10";"1"
"14887464";"1";"2025-06-23 08:45:00.000";"22";"1"
"14887480";"1";"2025-06-23 07:00:00.000";"14";"1"
"14887505";"1";"2025-06-23 08:45:00.000";"21";"1"
"14887548";"1";"2025-06-22 17:15:00.000";"9";"1"
"14887589";"1";"2025-06-23 09:00:00.000";"23";"4"
"14887612";"1";"2025-06-23 08:00:00.000";"32";"1"
"14887612";"2";"2025-06-23 09:00:00.000";"35";"3"
"14887699";"1";"2025-06-23 09:00:00.000";"22";"3"
"14887702";"1";"2025-06-22 23:30:00.000";"13";"1"
"14887703";"1";"2025-06-23 08:45:00.000";"12";"1"
"14887704";"1";"2025-06-23 08:00:00.000";"36";"1"
"14887706";"1";"2025-06-23 08:00:00.000";"6";"1"
"14887718";"1";"2025-06-23 00:15:00.000";"37";"1"
"14887718";"2";"2025-06-22 15:45:00.000";"38";"1"
"14887720";"1";"2025-06-23 09:00:00.000";"12";"2"
"14887729";"1";"2025-06-23 08:45:00.000";"31";"1"
"14887771";"1";"2025-06-23 06:00:00.000";"23";"1"
"14887780";"2";"2025-06-23 09:00:00.000";"12";"2"
"14887782";"1";"2025-06-23 08:30:00.000";"31";"1"
"14887783";"1";"2025-06-23 09:00:00.000";"28";"1"
"14887790";"1";"2025-06-23 08:00:00.000";"28";"1"
"14887797";"1";"2025-06-22 21:15:00.000";"30";"1"
"14887807";"1";"2025-06-22 22:00:00.000";"27";"1"
"14887827";"1";"2025-06-23 08:15:00.000";"40";"1"
"14887827";"2";"2025-06-23 09:00:00.000";"34";"1"
"14887868";"1";"2025-06-23 08:45:00.000";"32";"1"
"14888059";"1";"2025-06-23 05:30:00.000";"20";"1"
"14888136";"1";"2025-06-23 09:00:00.000";"22";"2"
"14888327";"1";"2025-06-23 09:00:00.000";"18";"1"
"14888340";"1";"2025-06-23 09:00:00.000";"8";"1"
"14888352";"1";"2025-06-22 13:30:00.000";"24";"1"
"14888397";"1";"2025-06-23 09:00:00.000";"25";"1"
"14888434";"1";"2025-06-23 02:00:00.000";"11";"1"
"14888483";"1";"2025-06-22 22:15:00.000";"17";"1"
"14888697";"1";"2025-06-23 08:30:00.000";"44";"1"
"14888697";"2";"2025-06-23 09:00:00.000";"38";"1"
"14888749";"1";"2025-06-23 08:45:00.000";"88";"1"
"14888755";"1";"2025-06-23 09:00:00.000";"75";"4"
"14888874";"1";"2025-06-23 08:30:00.000";"28";"1"
"14888874";"2";"2025-06-22 13:30:00.000";"9";"1"
"14889522";"1";"2025-06-23 09:00:00.000";"25";"1"
"14889547";"1";"2025-06-23 09:00:00.000";"36";"1"
"14889553";"1";"2025-06-23 07:00:00.000";"29";"1"
"14889556";"1";"2025-06-23 08:30:00.000";"33";"1"
"14889577";"1";"2025-06-23 08:45:00.000";"28";"1"
"14889599";"1";"2025-06-23 08:15:00.000";"21";"1"
"14889611";"1";"2025-06-23 07:15:00.000";"14";"1"
"14889671";"1";"2025-06-23 08:30:00.000";"24";"1"
"14889688";"2";"2025-06-22 14:00:00.000";"23";"1"
"14889708";"1";"2025-06-23 09:00:00.000";"23";"3"
"14889718";"1";"2025-06-23 01:45:00.000";"20";"1"
"14889740";"2";"2025-06-23 09:00:00.000";"1";"1"
"14889784";"1";"2025-06-23 08:45:00.000";"29";"1"
"14889793";"1";"2025-06-23 08:00:00.000";"29";"1"
"14889825";"1";"2025-06-23 09:00:00.000";"1";"1"
"14889888";"1";"2025-06-23 08:30:00.000";"18";"1"
"14889926";"1";"2025-06-23 08:00:00.000";"11";"1"
